volunteer_id,time_slot,reliability
V001,Weekend PM,0.89
V001,Weekend AM,0.98
V001,Weekday AM,0.83
V002,Weekday AM,0.79
V002,Weekend PM,0.9
V002,Weekend AM,0.91
V003,Weekend AM,0.86
V003,Weekday PM,0.84
V003,Weekend PM,0.75
V004,Weekday PM,0.78
V004,Weekend AM,0.92
V004,Weekend PM,0.92
V005,Weekday PM,0.72
V005,Weekend PM,0.96
V006,Weekday AM,1.0
V006,Weekday PM,0.73
V007,Weekday AM,0.82
V007,Weekend AM,0.77
V008,Weekend PM,0.95
V008,Weekend AM,0.71
V008,Weekday AM,0.9
V008,Weekend PM,0.96
V009,Weekend PM,0.74
V009,Weekday PM,0.98
V009,Weekend AM,0.86
V010,Weekend PM,0.84
V010,Weekend AM,0.77
V010,Weekday PM,0.73
V011,Weekend AM,0.7
V011,Weekday PM,0.86
V011,Weekend PM,0.93
V011,Weekend PM,0.74
V012,Weekend PM,0.85
V012,Weekend AM,0.93
V012,Weekday AM,0.79
V013,Weekend AM,0.86
V013,Weekend PM,0.76
V013,Weekday AM,0.96
V014,Weekend PM,0.89
V014,Weekday AM,0.95
V014,Weekend AM,0.77
V015,Weekend PM,0.93
V015,Weekend AM,0.97
V015,Weekend PM,0.94
V016,Weekend AM,0.96
V016,Weekend PM,0.75
V016,Weekday PM,0.79
V017,Weekend PM,0.71
V017,Weekday PM,0.71
V017,Weekend AM,0.86
V017,Weekend PM,0.76
V018,Weekend AM,0.83
V018,Weekday PM,0.7
V018,Weekend PM,0.73
V019,Weekend PM,0.79
V019,Weekday AM,0.94
V020,Weekend PM,0.95
V020,Weekend AM,0.99
V020,Weekday AM,0.72
V021,Weekday AM,0.97
V021,Weekend AM,0.78
V021,Weekday PM,0.81
V021,Weekend PM,0.7
V022,Weekend PM,1.0
V022,Weekday PM,0.76
V023,Weekday PM,0.99
V023,Weekend PM,0.98
V024,Weekday AM,0.86
V024,Weekend AM,0.78
V025,Weekday PM,0.77
V025,Weekend PM,0.73
V025,Weekday AM,0.89
V026,Weekday AM,0.82
V026,Weekend PM,0.77
V026,Weekday PM,0.99
V027,Weekday PM,0.85
V027,Weekend PM,0.91
V027,Weekday AM,0.8
V027,Weekday PM,0.99
V028,Weekday AM,0.91
V028,Weekday PM,0.94
V029,Weekend PM,0.87
V029,Weekday AM,0.89
V030,Weekend PM,0.81
V030,Weekend AM,0.92
V030,Weekday AM,0.78
V030,Weekend PM,0.71
V031,Weekend AM,0.76
V031,Weekend PM,0.8
V031,Weekday PM,0.92
V031,Weekend PM,0.78
V032,Weekday AM,0.79
V032,Weekend AM,0.78
V032,Weekend PM,0.81
V033,Weekend PM,0.71
V033,Weekend AM,0.96
V033,Weekend PM,0.93
V034,Weekend AM,0.99
V034,Weekend PM,0.95
V034,Weekend PM,0.76
V035,Weekday PM,0.89
V035,Weekend AM,0.73
V035,Weekend PM,0.86
V036,Weekday AM,0.71
V036,Weekend PM,0.73
V036,Weekday PM,0.76
V037,Weekend PM,0.89
V037,Weekend AM,0.88
V038,Weekend AM,0.72
V038,Weekday AM,0.98
V039,Weekend PM,0.89
V039,Weekday AM,0.81
V040,Weekend AM,0.78
V040,Weekend PM,0.71
V040,Weekday AM,0.72
V041,Weekday AM,0.77
V041,Weekend PM,0.82
V041,Weekend AM,0.76
V041,Weekend PM,0.9
V042,Weekend PM,0.89
V042,Weekend AM,0.81
V042,Weekend PM,0.84
V043,Weekday AM,0.85
V043,Weekend PM,0.9
V043,Weekend AM,0.86
V044,Weekend AM,0.82
V044,Weekday PM,0.89
V044,Weekend PM,0.95
V045,Weekday PM,0.87
V045,Weekend AM,0.92
V045,Weekday AM,0.81
V046,Weekend PM,0.99
V046,Weekday PM,0.88
V046,Weekday AM,0.86
V047,Weekday AM,0.79
V047,Weekday PM,0.93
V047,Weekend PM,0.98
V047,Weekday PM,0.95
V048,Weekday AM,0.75
V048,Weekend PM,0.78
V049,Weekday PM,0.73
V049,Weekend PM,0.82
V050,Weekday AM,0.84
V050,Weekend AM,0.85
